ArticleId,SiteId,ZoneId,Date,Quantity,Price,CostPrice,ZoneName,SiteName,ArticleName
170936,5,1,2018-07-02,6,39.0,30.06,Hypermarket,Belgická,ŠPENÁTOVÝ PROTLAK 400G
174022,4,1,2018-07-02,4,239.0,190.0,Hypermarket,Londýnská,"JÄGERMEISTER 35%  0,7L"
167108,5,1,2018-07-02,1,26.9,18.58,Hypermarket,Belgická,GRANINI NEKT.1l HRUŠKA 50%
174022,6,1,2018-07-02,6,239.0,190.0,Hypermarket,Vídeňská,"JÄGERMEISTER 35%  0,7L"
167108,6,1,2018-07-02,3,26.9,18.58,Hypermarket,Vídeňská,GRANINI NEKT.1l HRUŠKA 50%
200838,5,1,2018-07-02,3,95.0,85.53,Hypermarket,Belgická,"PRAŽSKÁ VODKA 37,5%0,5L"
199219,7,2,2018-07-02,4,89.0,78.77,Supermarket,Pražská,"NORDIC ICE VODKA37,5%0,5L"
172551,6,1,2018-07-02,19,90.5,81.84,Hypermarket,Vídeňská,"BOŽKOV SPE.KÁVOVÝ 30%0,5L"
176139,7,2,2018-07-02,3,197.0,142.0,Supermarket,Pražská,"HRANOLKY B"" 1KG"""
199219,8,2,2018-07-02,4,89.0,78.77,Supermarket,Plzeňská,"NORDIC ICE VODKA37,5%0,5L"
174022,8,2,2018-07-02,4,239.0,191.9,Supermarket,Plzeňská,"JÄGERMEISTER 35%  0,7L"
165811,6,1,2018-07-03,7,21.9,15.75,Hypermarket,Vídeňská,JČ SMETANA KE ŠL.33% 250ML
176139,6,1,2018-07-03,1,214.0,142.0,Hypermarket,Vídeňská,"HRANOLKY B"" 1KG"""
200838,8,2,2018-07-03,3,95.0,81.7,Supermarket,Plzeňská,"PRAŽSKÁ VODKA 37,5%0,5L"
170069,8,2,2018-07-03,1,59.9,43.51,Supermarket,Plzeňská,JACOBS PORCE CAF.LATTÉ 250G
170295,6,1,2018-07-03,1,24.5,15.78,Hypermarket,Vídeňská,BERLINKI 250G
172551,8,2,2018-07-03,10,90.5,82.29,Supermarket,Plzeňská,"BOŽKOV SPE.KÁVOVÝ 30%0,5L"
200838,5,1,2018-07-03,8,95.0,85.53,Hypermarket,Belgická,"PRAŽSKÁ VODKA 37,5%0,5L"
170936,6,1,2018-07-03,5,39.0,30.06,Hypermarket,Vídeňská,ŠPENÁTOVÝ PROTLAK 400G
199219,8,2,2018-07-03,22,89.0,78.77,Supermarket,Plzeňská,"NORDIC ICE VODKA37,5%0,5L"
176139,7,2,2018-07-03,3,197.0,142.0,Supermarket,Pražská,"HRANOLKY B"" 1KG"""
172551,6,1,2018-07-03,10,90.5,81.84,Hypermarket,Vídeňská,"BOŽKOV SPE.KÁVOVÝ 30%0,5L"
176139,5,1,2018-07-03,2,214.0,142.0,Hypermarket,Belgická,"HRANOLKY B"" 1KG"""
199219,6,1,2018-07-03,24,89.0,78.02,Hypermarket,Vídeňská,"NORDIC ICE VODKA37,5%0,5L"
165811,4,1,2018-07-03,1,21.9,15.75,Hypermarket,Londýnská,JČ SMETANA KE ŠL.33% 250ML
172551,4,1,2018-07-03,5,90.5,81.84,Hypermarket,Londýnská,"BOŽKOV SPE.KÁVOVÝ 30%0,5L"
174022,4,1,2018-07-03,14,239.0,190.0,Hypermarket,Londýnská,"JÄGERMEISTER 35%  0,7L"
199219,7,2,2018-07-03,19,89.0,78.77,Supermarket,Pražská,"NORDIC ICE VODKA37,5%0,5L"
170936,7,2,2018-07-03,14,39.0,30.06,Supermarket,Pražská,ŠPENÁTOVÝ PROTLAK 400G
165811,7,2,2018-07-03,1,21.9,15.75,Supermarket,Pražská,JČ SMETANA KE ŠL.33% 250ML
170936,8,2,2018-07-03,5,39.0,30.06,Supermarket,Plzeňská,ŠPENÁTOVÝ PROTLAK 400G
170936,5,1,2018-07-03,3,39.0,30.06,Hypermarket,Belgická,ŠPENÁTOVÝ PROTLAK 400G
170295,4,1,2018-07-03,12,24.5,15.78,Hypermarket,Londýnská,BERLINKI 250G
165811,5,1,2018-07-03,7,21.9,15.75,Hypermarket,Belgická,JČ SMETANA KE ŠL.33% 250ML
199219,4,1,2018-07-03,5,89.0,78.02,Hypermarket,Londýnská,"NORDIC ICE VODKA37,5%0,5L"
172551,7,2,2018-07-03,19,90.5,82.29,Supermarket,Pražská,"BOŽKOV SPE.KÁVOVÝ 30%0,5L"
174022,7,2,2018-07-03,7,239.0,191.9,Supermarket,Pražská,"JÄGERMEISTER 35%  0,7L"
170936,4,1,2018-07-03,7,39.0,30.06,Hypermarket,Londýnská,ŠPENÁTOVÝ PROTLAK 400G
170069,6,1,2018-07-03,1,59.9,42.34,Hypermarket,Vídeňská,JACOBS PORCE CAF.LATTÉ 250G
167108,7,2,2018-07-03,4,26.9,18.58,Supermarket,Pražská,GRANINI NEKT.1l HRUŠKA 50%
174022,6,1,2018-07-03,5,239.0,190.0,Hypermarket,Vídeňská,"JÄGERMEISTER 35%  0,7L"
172671,6,1,2018-07-03,2,19.9,10.97,Hypermarket,Vídeňská,GNOCCHI 40% 500G SPINACI
170069,7,2,2018-07-03,1,59.9,43.51,Supermarket,Pražská,JACOBS PORCE CAF.LATTÉ 250G
174022,5,1,2018-07-03,9,239.0,190.0,Hypermarket,Belgická,"JÄGERMEISTER 35%  0,7L"
200838,7,2,2018-07-03,5,95.0,81.7,Supermarket,Pražská,"PRAŽSKÁ VODKA 37,5%0,5L"
167108,5,1,2018-07-03,4,26.9,18.58,Hypermarket,Belgická,GRANINI NEKT.1l HRUŠKA 50%
165954,5,1,2018-07-03,3,8.7,5.87,Hypermarket,Belgická,LIPÁNEK UHT MLÉKO 250ML KAK
167108,8,2,2018-07-03,2,26.9,18.58,Supermarket,Plzeňská,GRANINI NEKT.1l HRUŠKA 50%
167108,6,1,2018-07-03,5,26.9,18.58,Hypermarket,Vídeňská,GRANINI NEKT.1l HRUŠKA 50%
200838,6,1,2018-07-03,3,95.0,85.53,Hypermarket,Vídeňská,"PRAŽSKÁ VODKA 37,5%0,5L"
176139,4,1,2018-07-03,3,214.0,142.0,Hypermarket,Londýnská,"HRANOLKY B"" 1KG"""
172551,5,1,2018-07-03,9,90.5,81.84,Hypermarket,Belgická,"BOŽKOV SPE.KÁVOVÝ 30%0,5L"
199219,5,1,2018-07-03,10,89.0,78.02,Hypermarket,Belgická,"NORDIC ICE VODKA37,5%0,5L"
172671,4,1,2018-07-03,1,19.9,10.97,Hypermarket,Londýnská,GNOCCHI 40% 500G SPINACI
174022,8,2,2018-07-03,5,239.0,191.9,Supermarket,Plzeňská,"JÄGERMEISTER 35%  0,7L"
199219,6,1,2018-07-04,17,89.0,78.02,Hypermarket,Vídeňská,"NORDIC ICE VODKA37,5%0,5L"
172551,8,2,2018-07-04,5,90.5,82.29,Supermarket,Plzeňská,"BOŽKOV SPE.KÁVOVÝ 30%0,5L"
172551,5,1,2018-07-04,11,90.5,81.84,Hypermarket,Belgická,"BOŽKOV SPE.KÁVOVÝ 30%0,5L"
172671,6,1,2018-07-04,1,19.9,10.97,Hypermarket,Vídeňská,GNOCCHI 40% 500G SPINACI
176139,4,1,2018-07-04,1,214.0,142.0,Hypermarket,Londýnská,"HRANOLKY B"" 1KG"""
176139,8,2,2018-07-04,4,197.0,142.0,Supermarket,Plzeňská,"HRANOLKY B"" 1KG"""
171979,4,1,2018-07-04,1,42.6,28.95,Hypermarket,Londýnská,POMAZÁNKA 120G VAJÍČKOVÁ
199219,4,1,2018-07-04,8,89.0,78.02,Hypermarket,Londýnská,"NORDIC ICE VODKA37,5%0,5L"
171979,8,2,2018-07-04,1,42.6,28.11,Supermarket,Plzeňská,POMAZÁNKA 120G VAJÍČKOVÁ
165811,5,1,2018-07-04,5,21.9,15.75,Hypermarket,Belgická,JČ SMETANA KE ŠL.33% 250ML
167108,5,1,2018-07-04,1,26.9,18.58,Hypermarket,Belgická,GRANINI NEKT.1l HRUŠKA 50%
200838,6,1,2018-07-04,7,95.0,85.53,Hypermarket,Vídeňská,"PRAŽSKÁ VODKA 37,5%0,5L"
176139,5,1,2018-07-04,7,214.0,142.0,Hypermarket,Belgická,"HRANOLKY B"" 1KG"""
174022,5,1,2018-07-04,18,239.0,190.0,Hypermarket,Belgická,"JÄGERMEISTER 35%  0,7L"
165811,8,2,2018-07-04,6,21.9,15.75,Supermarket,Plzeňská,JČ SMETANA KE ŠL.33% 250ML
174022,6,1,2018-07-04,4,239.0,190.0,Hypermarket,Vídeňská,"JÄGERMEISTER 35%  0,7L"
172551,6,1,2018-07-04,26,90.5,81.84,Hypermarket,Vídeňská,"BOŽKOV SPE.KÁVOVÝ 30%0,5L"
167108,7,2,2018-07-04,1,26.9,18.58,Supermarket,Pražská,GRANINI NEKT.1l HRUŠKA 50%
